year,target_mt,bau_mt,heat_pump_mt,ncc_h2_mt,ncc_elec_mt,re_ppa_mt,h2_consumption_kt,electricity_consumption_increase_twh,total_deployed_mt,actual_emissions_mt,shortfall_mt,cumulative_capex_musd
2025,66.2,66.19312069636608,0.0,0.0,0,0.0,0.0,0.0,0.0,66.19312069636608,0.0,0.0
2026,63.620000000000005,63.88696366263106,0.0,0.0,0,0.2669636626310563,0.0,0.0,0.2669636626310563,63.620000000000005,0.0,0.0
2027,61.04,61.862753232782424,0.0,0.0,0,0.822753232782425,0.0,0.0,0.822753232782425,61.04,0.0,0.0
2028,58.46,59.79051461801725,0.0,0.0,0,1.3305146180172471,0.0,0.0,1.3305146180172471,58.46,0.0,0.0
2029,55.879999999999995,57.800982701930074,0.0,0.0,0,1.920982701930079,0.0,0.0,1.920982701930079,55.879999999999995,0.0,0.0
2030,53.3,56.47404253592583,0.0,0.0,0,3.1740425359258353,0.0,0.0,3.1740425359258353,53.3,0.0,0.0
2031,50.699999999999996,54.567723691398285,0.0,0.0,0,3.8677236913982895,0.0,0.0,3.8677236913982895,50.699999999999996,0.0,0.0
2032,48.099999999999994,52.67538378265056,0.0,0.0,0,4.575383782650569,0.0,0.0,4.575383782650569,48.099999999999994,0.0,0.0
2033,45.5,50.797022809682666,0.0,0.0,0,5.297022809682666,0.0,0.0,5.297022809682666,45.5,0.0,0.0
2034,42.9,48.93264077249457,0.6755859153517152,0.0,0,5.357054857142859,0.0,0.003141474506385476,6.032640772494574,42.9,0.0,389.13748724258795
2035,40.3,47.77741165012249,2.1203567929796323,0.0,0,5.357054857142859,0.0,0.009859659087355291,7.477411650122491,40.3,0.0,1198.2091787142217
2036,37.62,45.909995723026135,2.1203567929796323,0.8125840729036469,0,5.357054857142859,201.6473428733743,0.009859659087355291,8.289995723026138,37.62,0.0,1900.9318849612955
2037,34.94,44.058555722535296,2.1203567929796323,1.641144072412807,0,5.357054857142859,407.2592024747595,0.009859659087355291,9.118555722535298,34.94,0.0,2593.27662055115
2038,32.26,42.22309164864997,2.1203567929796323,2.4856799985274804,0,5.357054857142859,616.8355788041558,0.009859659087355291,9.963091648649971,32.26,0.0,3274.3103913700224
2039,29.58,40.40360350137014,2.1203567929796323,3.346191851247653,0,5.357054857142859,830.3764718615595,0.009859659087355291,10.823603501370144,29.58,0.0,3943.1002033041405
2040,26.9,36.99689260130588,2.1203567929796323,3.346191851247653,0,5.357054857142859,830.3764718615595,0.009859659087355291,10.823603501370144,26.173289099935737,0.0,3943.1002033041405
2041,24.2,36.812554986626985,2.1203567929796323,5.135143336504495,0,5.357054857142859,1274.314921506995,0.009859659087355291,12.612554986626986,24.2,0.0,5259.052915859073
2042,21.5,36.62821737194808,2.1203567929796323,7.650805721825591,0,5.357054857142859,1898.5907995140758,0.009859659087355291,15.128217371948082,21.5,0.0,7078.37995292329
2043,18.8,36.44387975726919,2.1203567929796323,10.166468107146695,0,5.357054857142859,2522.866677521158,0.009859659087355291,17.643879757269186,18.8,0.0,8866.51277640953
2044,16.1,36.25954214259029,2.1203567929796323,12.682130492467799,0,5.357054857142859,3147.1425555282403,0.009859659087355291,20.15954214259029,16.1,0.0,10623.451386317789
2045,13.4,36.07520452791139,2.1203567929796323,15.197792877788899,0,5.357054857142859,3771.418433535322,0.009859659087355291,22.67520452791139,13.399999999999999,0.0,12349.195782648063
2046,10.72,35.95999351873708,2.1203567929796323,16.196414304132702,0,5.357054857142859,4019.2320000000004,0.009859659087355291,23.673825954255193,12.286167564481886,1.5661675644818853,13021.867175433248
2047,8.04,35.84478250956276,2.1203567929796323,16.196414304132702,0,5.357054857142859,4019.2320000000004,0.009859659087355291,23.673825954255193,12.17095655530757,4.13095655530757,13021.867175433248
2048,5.359999999999999,35.72957150038845,2.1203567929796323,16.196414304132702,0,5.357054857142859,4019.2320000000004,0.009859659087355291,23.673825954255193,12.05574554613326,6.69574554613326,13021.867175433248
2049,2.6799999999999997,35.614360491214136,2.1203567929796323,16.196414304132702,0,5.357054857142859,4019.2320000000004,0.009859659087355291,23.673825954255193,11.940534536958943,9.260534536958943,13021.867175433248
2050,0.0,35.499149482039826,2.1203567929796323,16.196414304132702,0,5.357054857142859,4019.2320000000004,0.009859659087355291,23.673825954255193,11.825323527784633,11.825323527784633,13021.867175433248
