year,technology,available,abatement_potential_mtco2,capex_ann_usd_per_tco2,opex_ann_usd_per_tco2,fuel_cost_diff_usd_per_tco2,total_cost_usd_per_tco2,re_price_usd_per_mwh,h2_price_usd_per_kg,electricity_consumption_mwh,fossil_fuel_replaced_gj,methodology,h2_consumption_ton_per_ton_ethylene,baseline_combustion_emissions_tco2_per_ton,ethylene_production_kt,h2_fuel_cost_per_ton_ethylene,electricity_consumption_mwh_per_ton_ethylene,electricity_cost_per_ton_ethylene,grid_ef_tco2_per_mwh,grid_price_usd_per_mwh
2025,Heat_Pump,True,2.8624758029124737,45.0,27.0,176.99072451610505,248.99072451610505,129.28818444452443,6.7307511295180715,3918623.101128673,56428172.6562529,Energy-based,,,,,,,,
2025,NCC-H2,False,26994.02384022117,69.0,69.0,0.5965264422070355,138.59652644220702,,6.7307511295180715,,,Energy-based,0.2,2256.6480388079895,11962.0,1346.1502259036142,,,,
2025,NCC-Electricity,False,26967.946680221172,73.6,73.60000000000001,0.221781809009085,147.42178180900908,,,,,Energy-based,,2256.6480388079895,11962.0,,5.0,500.0,0.436,100.0
2025,RE_PPA,True,4.103535257618368,0.0,0.0,75.87612550394928,75.87612550394928,129.28818444452443,,,,Energy-based,,,,,,,0.436,100.0
2026,Heat_Pump,True,2.7766015288250996,43.2,25.919999999999998,184.07035349674925,253.19035349674925,134.45971182230542,6.5602649568863685,3801064.408094813,54735327.47656531,Energy-based,,,,,,,,
2026,NCC-H2,False,26184.203125014534,66.72,66.72,0.5814167600856041,134.0214167600856,,6.5602649568863685,,,Energy-based,0.2,2256.6480388079895,11603.14,1312.0529913772737,,,,
2026,NCC-Electricity,False,26159.906149854534,71.36,71.36,0.23064428310395718,142.95064428310397,,,,,Energy-based,,2256.6480388079895,11603.14,,5.0,520.0,0.4188,104.0
2026,RE_PPA,True,3.959253665598001,0.0,0.0,82.59140949648976,82.59140949648976,134.45971182230542,,,,Energy-based,,,,,,,0.4188,104.0
2027,Heat_Pump,True,2.702177157949375,41.4,24.84,191.43316763661923,257.6731676366192,139.83810029519762,6.389778784254665,3699180.2074654675,53268194.98750273,Energy-based,,,,,,,,
2027,NCC-H2,False,25482.35850516878,64.44,64.44,0.5663070779641726,129.44630707796418,,6.389778784254665,,,Energy-based,0.2,2256.6480388079895,11292.127999999999,1277.955756850933,,,,
2027,NCC-Electricity,False,25459.683912144785,69.12,69.12,0.23950608110618568,138.4795060811062,,,,,Energy-based,,2256.6480388079895,11292.127999999999,,5.0,540.0,0.4016,108.0
2027,RE_PPA,True,3.830756175710461,0.0,0.0,90.55204862115365,90.55204862115365,139.83810029519762,,,,Energy-based,,,,,,,0.4016,108.0
2028,Heat_Pump,True,2.6248903112707387,39.6,23.759999999999998,199.09049434208399,262.45049434208397,145.43162430700554,6.219292611622962,3593377.3837349936,51744634.32578391,Energy-based,,,,,,,,
2028,NCC-H2,False,24753.51986148281,62.16,62.160000000000004,0.551197395842741,124.87119739584273,,6.219292611622962,,,Energy-based,0.2,2256.6480388079895,10969.154,1243.8585223245925,,,,
2028,NCC-Electricity,False,24732.437147494813,66.88,66.88,0.24836720309313337,134.00836720309312,,,,,Energy-based,,2256.6480388079895,10969.154,,5.0,560.0,0.3843999999999999,112.0
2028,RE_PPA,True,3.697511890459023,0.0,0.0,99.97495307118884,99.97495307118884,145.43162430700554,,,,Energy-based,,,,,,,0.3843999999999999,112.0
2029,Heat_Pump,True,2.550465940395014,37.8,22.68,207.0541141157674,267.5341141157674,151.24888927928578,6.048805516182376,3491493.183105648,50277501.83672133,Energy-based,,,,,,,,
2029,NCC-H2,False,24051.675241637062,59.88,59.88,0.5360876319355042,120.2960876319355,,6.048805516182376,,,Energy-based,0.2,2256.6480388079895,10658.142,1209.761103236475,,,,
